name,shopType,district,status,address,lat,lon,number,state_code
祥宥工程行,hardware,萬華區,核准設立,廣州街62號1樓,25.036481,121.5032639,42295322,553626926
得鑫電器工程行,hardware,大安區,核准設立,臥龍街272巷5號,25.016892600000002,121.55825220000001,42297996,553226882
上好裝潢工程行,hardware,信義區,核准設立,松隆路345號1樓,25.048702,121.57986399999999,42335252,553926973
名辰五金行,hardware,萬華區,核准設立,環河南路1段222號1樓,25.046321,121.5032939,42336610,553826950
國盟工程行,hardware,萬華區,核准設立,莒光路250之1號1樓,25.0313262,121.49966909999999,42338384,553526911
老虎空間室內裝修工程行,hardware,南港區,核准設立,富康街41號1樓,25.053248999999997,121.617333,42339314,554026991
天降神兵工程行,hardware,信義區,核准設立,虎林街232巷9號1樓,25.036615,121.57718700000001,42340136,553626942
富霖水電瓦斯器具行,hardware,信義區,核准設立,中坡南路130之6號,25.04052,121.58463700000001,42343632,553726954
顏億五金商行,hardware,萬華區,核准設立,大理街171之2號1樓,25.033999899999998,121.49487979999999,48502214,553626917
東海水電行,hardware,信義區,核准設立,吳興街281巷13號1樓,25.0266141,121.5647382,48559525,553426912
永勝工程行,hardware,內湖區,核准設立,內湖路3段60巷50弄6號,25.089111499999998,121.5929386,48582407,554827045
佳昇工具行,hardware,士林區,核准設立,延平北路6段33號1樓,25.0872955,121.5088987,48683030,554827024
琦士美工程行,hardware,萬華區,核准設立,西寧南路36號2樓之105,25.0452425,121.5064943,48686521,553826948
恆億水電材料行,hardware,文山區,核准設立,恆光街14巷16號1樓,24.9826808,121.56629840000002,48698245,552426761
春和五金行,hardware,大同區,核准設立,民族西路35號1樓,25.068672399999997,121.5194419,48717720,554326999
永昇五金行,hardware,大安區,核准設立,四維路154巷11號1樓,25.0310714,121.5473769,48721392,553526921
亞帝工程行,hardware,中山區,核准設立,民族東路262號,25.0679895,121.53494009999999,48725783,554327001
巨丞裝潢設計工程行,hardware,信義區,核准設立,忠孝東路5段71巷10號,25.04194810000001,121.56721940000001,48750662,553726954
松杰汽車材料行,hardware,大同區,核准設立,太原路11巷18號1樓,25.0494872,121.5157473,48756645,553926960
永宏工程行,hardware,信義區,核准設立,嘉興街179之2號,25.026999800000002,121.5570207,48770180,553426912
承泰不銹鋼工程行,hardware,士林區,核准設立,永平街16號1樓,25.089963100000002,121.5052799,48777064,554827027
佳得百貨五金行,hardware,萬華區,核准設立,萬大路486巷31號,25.020067899999997,121.496494,48786401,553326878
金三芝五金百貨行,hardware,文山區,核准設立,景美街99號,24.990316699999997,121.5416033,48786535,552626786
彩富五金行,hardware,北投區,核准設立,中和街488號,25.1453141,121.4949936,48788288,556027047
利樺工具五金行,hardware,萬華區,核准設立,西藏路161號,25.0293448,121.5012727,48812506,553526906
和泰五金行,hardware,南港區,核准設立,南港路2段258號,25.0544027,121.59672959999999,48856166,554026989
來發五金行,hardware,內湖區,核准設立,成功路4段315號,25.084491399999997,121.5985436,48856216,554727041
尚杰工程行,hardware,北投區,核准設立,民族街39號,25.133113,121.505477,48868326,555827051
長弘五金行,hardware,萬華區,核准設立,和平西路3段49之1號,25.0353573,121.5027148,48868775,553626923
拾圓五金文具百貨商行,hardware,萬華區,核准設立,東園街28巷7號,25.026862,121.495424,48883430,553426898
鈺民廣告工程行,hardware,士林區,核准設立,延平北路5段63號,25.0805268,121.5106176,48894252,554627016
