state_code,house_unitPrice,lease_unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,job_stat_code,mrt,night_club,park,restaurant_statcode,ubike,center,center_lat,center_lon,dist,vil
552826826,429000.0,880.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,0.0,"(24.999095628267042, 121.57685962975935)",24.999095628267042,121.57685962975935,文山區,博嘉里
552826827,437000.0,902.5,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,16.0,0.0,"(24.999095628267042, 121.58139159850779)",24.999095628267042,121.58139159850779,文山區,萬興里
552826828,410000.0,900.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,"(24.999095628267042, 121.58592356725622)",24.999095628267042,121.58592356725622,文山區,萬興里
552826829,567000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.999095628267042, 121.59045553600465)",24.999095628267042,121.59045553600465,文山區,博嘉里
552826830,364500.0,950.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.999095628267042, 121.59498750475308)",24.999095628267042,121.59498750475308,文山區,博嘉里
552826831,363000.0,1214.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.999095628267042, 121.59951947350152)",24.999095628267042,121.59951947350152,深坑區,阿柔里
552826832,421000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.999095628267042, 121.60405144224994)",24.999095628267042,121.60405144224994,深坑區,阿柔里
552826834,296000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.999095628267042, 121.6131153797468)",24.999095628267042,121.6131153797468,深坑區,阿柔里
552926825,447000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(25.00361748693183, 121.49970428184064)",25.00361748693183,121.49970428184064,中和區,福祥里
552926827,496500.0,1225.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(25.00361748693183, 121.50876280483419)",25.00361748693183,121.50876280483419,中和區,瓦磘里
552926828,447000.0,1125.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0,"(25.00361748693183, 121.51329206633096)",25.00361748693183,121.51329206633096,中和區,中安里
552926829,527000.0,1225.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(25.00361748693183, 121.51782132782775)",25.00361748693183,121.51782132782775,永和區,得和里
552926830,496000.0,1225.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,"(25.00361748693183, 121.52235058932452)",25.00361748693183,121.52235058932452,永和區,秀和里
552926831,440000.0,1225.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"(25.00361748693183, 121.5268798508213)",25.00361748693183,121.5268798508213,永和區,秀朗里
552926832,445000.0,1225.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,"(25.00361748693183, 121.53140911231809)",25.00361748693183,121.53140911231809,永和區,秀成里
552926833,423000.0,1225.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,"(25.00361748693183, 121.53593837381486)",25.00361748693183,121.53593837381486,文山區,萬和里
